PERIOD,N0_4,N5_9,N10_14,N15_19,N20_24,N25_29,N30_34,N35_39,N40_44,N45_49,N50_54,N55_59,N60_64,N65_69,N70_74,N75_79,N80_84,N85+,N_UNK
1993-1994,260,99,117,182,200,408,587,751,1042,1567,1915,2256,2273,2490,1843,1581,923,546,0
1993-1995,519,487,489,763,1144,1546,3125,5460,8027,11291,19500,28851,36453,36181,27028,25646,16927,10116,15
1993-1996,7301,5360,4493,7958,12858,19452,28071,36544,46988,70032,94880,122815,162418,201101,174729,196508,133855,81112,276
1993-1997,133555,80287,77885,124159,196708,340851,522488,756035,1093152,1400429,1867848,2684472,3826324,4798216,4622549,4284424,2969349,2083218,15368
1994-1996,619,351,294,378,1042,1550,1767,1679,2256,2835,3577,4523,6321,7236,7029,7632,5756,4124,278
1994-1997,8189,6623,6061,9210,12959,20999,33079,49522,72761,94715,156763,218893,293276,305232,241969,232106,153903,92772,3882
1995-1996,599,454,332,453,682,971,1755,1871,2294,2778,3520,4546,5529,5373,4735,4234,2565,1863,2280
1995-1997,4146,2639,2317,3525,5557,9092,13642,19997,32418,43568,53609,75299,104437,131330,126738,118536,86753,59293,1145
1995-1998,369,194,285,375,490,921,1135,1747,2536,2899,3372,4460,5302,5669,5326,4398,3147,2630,156
1996-1997,313,293,263,427,523,611,1263,1981,2908,3656,5849,9149,12330,13823,12086,10581,7321,4976,701
1997-1998,620,456,566,834,1398,2282,3813,5179,6675,8632,13549,17819,23243,25288,20514,20907,14088,8494,0
1996-2000,704,381,424,781,1313,1990,2940,5490,8848,15741,21688,25418,34103,48714,51796,44406,29350,23096,790
1997-2001,613,482,501,903,1477,2268,3307,5062,7496,10732,14197,17190,24864,32152,31461,26530,17223,13431,66
1998-2000,315,214,209,326,604,1031,1901,2790,4273,6423,10516,15219,21136,28105,32199,30975,18494,19844,0
1998-2001,3948,2850,3120,4394,6821,10911,16854,26314,38890,58056,83492,104341,139500,180511,196535,174816,99234,94051,5663
1998-2002,540566,329644,352348,537275,779860,1257547,2011714,3197234,5082025,7417461,10664399,13211983,15842867,19261946,21653099,19995774,13584313,10936828,100998
1999-2001,927,601,708,1054,1884,2758,4147,6544,10399,15045,22317,29081,40019,50428,54912,50625,29666,26377,0
1999-2002,13888,9205,9181,14162,19930,35855,63583,104313,164389,205442,248007,303828,380160,387919,336248,248537,123583,68906,176
2000-2002,1005,790,835,1082,1100,2286,3735,6616,9427,12554,13011,12973,16307,19923,18144,12759,10023,3911,174
2003-2005,1970,1506,1781,2466,3390,5447,8052,12140,18517,25892,34251,44384,54345,68107,74571,69244,49750,33159,981
2003-2006,3363,2250,2545,4069,6424,11046,18414,28424,40588,54985,77677,111047,142126,177333,192992,182313,134444,92945,1437
2003-2007,731039,414046,473072,751831,1155257,1748001,2683177,4147578,6988975,11025145,15761804,20891723,23785762,26589193,26937418,26044099,19853865,15380596,112243
2004-2007,5356,3462,4096,6383,9179,13859,22064,36656,59308,91419,129694,172370,194907,233134,256699,239249,168778,98386,60
2005-2007,2461,2168,2232,3339,5144,7793,11450,17771,25631,36482,50533,68534,84048,95179,103129,98896,76775,62280,88
2008-2010,2968,1836,2185,3431,5510,9183,16297,26210,42112,64684,91679,122790,152408,170535,182327,175222,135807,104538,40
2008-2011,3214,2128,2458,4190,6598,10270,16791,25768,40062,57353,74387,91680,109691,119287,124641,118886,90191,70509,286
2008-2012,576497,316520,360096,616826,1009808,1668276,2502076,3846737,6424317,10846346,16649330,21674567,26731500,28442059,26336103,23251412,18620115,16506503,5125
2009-2012,1457,923,788,1091,2033,3412,5382,9710,15544,22488,26932,31540,28810,24950,25406,21251,13296,8077,3
2010-2012,3476,2066,2130,3664,6004,9533,15538,26414,40305,55808,64853,86721,91006,87554,95233,84927,59034,36363,1050
